,RoundCode,SessionCode,maxRed,maxBlue,maxGreen,maxOrange,maxPurple,maxYellow,maxMagenta,maxBlack,maxCyan,maxPink,maxSilver,maxTeal,maxBeige,maxOlive,maxBrown,totalClicks,Time1move,Time2move,Time3move,Time4move,Time5move,Time6move
202,12,1smtcyle,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,10,9.425,2.192,1.829,4.823,11.615,4.435
203,13,1smtcyle,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.259,2.459,1.936,4.742,8.937,3.492
204,14,1smtcyle,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,9,2.437,2.691,2.205,6.894,12.691,4.484
205,15,1smtcyle,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,9,2.422,2.638,3.123,5.059,17.826,6.299
206,16,1smtcyle,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,4.527,2.707,2.322,2.892,8.636,6.9
207,17,1smtcyle,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,2.892,2.469,1.889,3.07,10.67,4.026
208,2,6vas0mym,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,7,6.316,3.362,4.438,3.794,3.393,4.095
209,3,6vas0mym,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,11,8.419,4.773,6.114,2.869,3.439,3.386
210,4,6vas0mym,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,25,8.317,3.587,3.671,4.026,3.787,5.491
211,5,6vas0mym,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9.952,3.383,4.568,2.352,6.122,5.937
212,6,6vas0mym,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,7,6.076,2.447,3.418,4.019,5.938,6.824
213,7,6vas0mym,0,0,0,0,1,1,0,0,0,0,1,5,0,0,0,10,8.766,4.877,2.569,6.193,3.872,4.99
214,8,6vas0mym,0,0,0,0,0,0,3,2,0,0,0,0,2,4,0,20,9.018,4.797,3.229,2.707,4.258,5.045
